productId,brand,productName,seoName,companyName,category,subcategory,price,price_multipack,multipack_quantity,currency,pack_size,description,ingredients,retailers_available,packaging_attributes.packaging_type,market_position.market_maturity,market_position.price_tier,market_position.seasonality,target_user_1_segment,target_user_1_motivation,target_user_2_segment,target_user_2_motivation,target_user_3_segment,target_user_3_motivation,usage_1_scenario,usage_1_frequency,usage_2_scenario,usage_2_frequency,usage_3_scenario,usage_3_frequency,usage_4_scenario,usage_4_frequency,companion_products_count,companion_1_type,companion_1_relationship,companion_2_type,companion_2_relationship,companion_3_type,companion_3_relationship,companion_4_type,companion_4_relationship,companion_5_type,companion_5_relationship,labels
cmltqrupu00063itcs2pdanno,Fix8,Water Kefir Grapefruit & Elderflower,fix-8-water-kefir-grapefruit-and-elderflower,Fix8,Soft Drinks,Functional & Wellness Drinks,1.5,6.0,4,GBP,250ml,"Fix8 Water Kefir Grapefruit & Elderflower is a refreshing fermented drink. It combines the tangy zest of grapefruit with the delicate floral notes of elderflower, offering a unique and invigorating taste experience. This water kefir is a great alternative to traditional sodas, providing a naturally fizzy and flavorful beverage.","Water Kefir (Water, Grape Juice from Concentrate, Water Kefir Cultures, Yeast Extract), Flavour Enhancer: Erythritol, Apple Cider Vinegar, Grapefruit Juice, Natural Flavourings, Elderflower Extract, Sweetener: Steviol Glycosides from Stevia",Waitrose,bottle,growing,premium,summer,Health-conscious individuals,"Desire a flavorful, natural, and beneficial beverage that supports overall well-being.",Experimenting foodies,Seeking novel taste experiences and sophisticated beverage options.,Soda avoiders,"Want a fizzy, flavorful drink without the guilt or artificial ingredients of traditional soft drinks.",Refreshing drink on a hot day,weekly,Healthy alternative to soda,daily,Post-workout hydration,occasional,,,3,"Light snacks (e.g., fruit, crackers)",complementary,Sparkling water,substitute,"Other fermented beverages (e.g., kombucha)",substitute,,,,,Citrus(0.95)
cm0nn93no00023b78vacilslm,SKIP,Peach Ginger CBD Drink,skip-peach-ginger-cbd-drink,Skip,Soft Drinks,CBD Drinks,1.67,20.0,12,GBP,250ml,"A sparkling CBD-infused drink combining juicy peach with warming ginger and botanical extracts. Cold-pressed CBD preserves the full spectrum of cannabinoids for maximum efficacy. Contains 5mg active CBD per 250ml can, real fruit juice and calming botanicals including chamomile, green tea and lemon balm.","Water, Fruit Juices from Concentrate 17% (Grape, Peach 8%), Flavour Enhancer (Erythritol), Sweetener (Steviol Glycosides from Stevia), Botanical Extracts (Ginger, Chamomile, Green Tea, Lemon Balm, Turmeric), Citric Acid, Natural Flavour, Cold-Pressed CBD (5mg/250ml)",drinkskip.com (DTC),can,emerging,premium,year-round,Wellness-curious young adults,"Want a convenient, tasty way to unwind without alcohol or pharmaceutical sleep aids",CBD-curious consumers,Low-dose entry point (5mg) in a familiar soft drink format lowers the barrier to trying CBD,Mindful drinkers,Seeking sophisticated non-alcoholic alternatives that offer a functional benefit beyond hydration,Evening wind-down,daily,Pre-sleep ritual,daily,Social gathering alternative,occasional,,,3,CBD oil or supplements,complementary,Herbal tea,substitute,Adaptogenic drinks,substitute,,,,,Vegan(0.95); Sugar-Free(0.9); CBD(0.99); Soft Drinks(0.9)
cm0nnqzvo005f3b7829ziwr9v,SKIP,Lemon Basil CBD Drink,skip-lemon-basil-cbd-drink,Skip,Soft Drinks,CBD Drinks,1.67,20.0,12,GBP,250ml,A refreshing sparkling CBD drink blending citrus lemon with aromatic basil and calming botanical extracts. Cold-pressed to preserve the full spectrum of cannabinoids. Contains 5mg active CBD per 250ml can with real fruit juice — no artificial ingredients.,"Water, Fruit Juices from Concentrate 17% (Grape, Lemon 6%), Flavour Enhancer (Erythritol), Sweetener (Steviol Glycosides from Stevia), Botanical Extracts (Chamomile, Green Tea, Lemon Balm), Natural Flavour, Natural Basil Flavour, Cold-Pressed CBD (5mg/250ml)",drinkskip.com (DTC),can,emerging,premium,year-round,Wellness-curious young adults,"Want a convenient, refreshing way to incorporate CBD into daily routine",Flavour adventurers,Attracted by the herb-citrus pairing that feels more culinary and adult than standard soft drinks,Sober-curious consumers,"A complex, botanical drink that satisfies the desire for something more interesting than water or juice",Afternoon focus break,daily,Cocktail alternative,weekly,Gaming or creative session,weekly,,,3,CBD oil or supplements,complementary,Sparkling water,substitute,Nootropic drinks,substitute,,,,,Vegan(0.95); Sugar-Free(0.9); CBD(0.99); Soft Drinks(0.9)
cm0nnozhu002v3b78en2c43cz,SKIP,Elderflower Mint CBD Drink,skip-elderflower-mint-cbd-drink,Skip,Soft Drinks,CBD Drinks,1.67,20.0,12,GBP,250ml,"A delicate sparkling CBD drink pairing floral elderflower with cool mint and calming botanicals. Cold-pressed CBD at 5mg per can for gentle relaxation. Made with real fruit juice from apple and grape, plus chamomile, green tea and lemon balm extracts.","Carbonated Water, Fruit Juices from Concentrate 17% (Apple, Grape), Flavour Enhancer (Erythritol), Natural Flavour Elderflower, Botanical Extracts (Chamomile, Mint 0.07%, Green Tea, Lemon Balm), Acid (Citric Acid), Natural Flavouring, Cold-Pressed CBD Extract (5mg/250ml), Sweetener (Steviol Glycosides from Stevia)",drinkskip.com (DTC),can,emerging,premium,year-round,Wellness-curious young adults,"Gentle, floral flavour profile appeals to those who find other CBD drinks too bold",Evening ritual seekers,"The calming flavour combination (elderflower, mint, chamomile) signals relaxation",Gifters and tryers,"Elderflower-mint is an accessible, familiar flavour that lowers CBD trial barriers",Evening relaxation,daily,Summer garden drink,seasonal,Wellness routine,weekly,,,3,Herbal tea (chamomile/mint),complementary,Elderflower cordial,substitute,Sleep supplements,complementary,,,,,Vegan(0.95); Sugar-Free(0.9); CBD(0.99); Soft Drinks(0.9)
cmcw0tyg700023b7cfko4vigl,UNAI,Pink Grapefruit & Strawberry,pink-grapefruit-strawberry,Drink Unai,Soft Drinks,Adaptogenic Drinks,2.5,29.95,12,GBP,250ml,"UPLIFT — a lightly sparkling adaptogenic drink blending pink grapefruit and strawberry with Lion's Mane and Cordyceps mushroom extracts to support focus and energy. 100% natural with no artificial flavours. Designed for mornings, afternoon slumps or pre-adventure fuel. Only 12 kcal per 100ml.","Sparkling Water, Grape Juice from Concentrate, Natural Flavourings (Pink Grapefruit & Strawberry), Botanical Extracts (Lemon Balm, Rooibos, Lion's Mane, Cordyceps, Panax Ginseng, Green Tea), Citric Acid, Ascorbic Acid, Black Carrot Extract, Steviol Glycosides",drinkunai.com (DTC); RAYE Store Notting Hill (pop-up),can,emerging,premium,year-round,Focus-seeking professionals,Want sustained mental clarity from adaptogens rather than the spike-crash cycle of coffee or energy drinks,Active lifestyle consumers,Cordyceps for athletic performance + Lion's Mane for focus makes this a dual-purpose functional drink,Mindful millennials,"Brand ethos of 'conscious connection' and 'pause, connect, stay grounded' resonates with mindfulness values",Morning focus ritual,daily,Afternoon energy dip,daily,Pre-workout boost,weekly,,,3,Lion's Mane supplements,complementary,Energy drinks,substitute,Matcha latte,substitute,,,,,Vegan(0.9); Adaptogenic(0.99); Soft Drinks(0.9); Low Calorie(0.85)
cmcw0w5hg002k3b7c2ojvmdnu,UNAI,Lemon & Lavender,lemon-lavender,Drink Unai,Soft Drinks,Adaptogenic Drinks,2.5,29.95,12,GBP,250ml,"UNWIND — a lightly sparkling adaptogenic drink infused with Reishi mushroom and Ashwagandha to ease the mind and promote relaxation. Blends lemon and lavender with prickly pear juice, turmeric, burdock root and artichoke leaf. Enriched with magnesium, L-tryptophan and vitamin B12. 100% natural, only 13 kcal per 100ml.","Sparkling Water, Grape Juice from Concentrate, Prickly Pear Juice, Reishi Mushroom, Turmeric, Ashwagandha, Burdock Root, Artichoke Leaf, Citric Acid, Magnesium Citrate, Natural Flavourings (Lemon & Lavender), L-Tryptophan, Ascorbic Acid, Steviol Glycosides, Vitamin B12 (Cyanocobalamin)",drinkunai.com (DTC); RAYE Store Notting Hill (pop-up),can,emerging,premium,year-round,Stress-management seekers,Ashwagandha and Reishi have growing mainstream recognition for stress/anxiety relief — a drink format makes it easy and pleasant,Sleep optimisers,L-tryptophan and magnesium are recognised sleep-support ingredients — combined with adaptogens in a bedtime drink,Alcohol reducers,Lavender-lemon flavour profile and calming function serves as an evening 'treat' drink without alcohol,Evening wind-down,daily,Pre-sleep routine,daily,Post-stressful day reset,weekly,,,3,Ashwagandha supplements,complementary,CBD drinks,substitute,Chamomile tea,substitute,,,,,Vegan(0.9); Adaptogenic(0.99); Soft Drinks(0.9); Low Calorie(0.85)
comp_8489604cc5cbff07ab0a,Trip,Peach Ginger CBD Drink 250ml,peach-ginger-cbd-drink-250ml,Trip,Soft Drinks,CBD Drinks,5.5,5.5,1,GBP,250ml,"This lightly sparkling drink combines the refreshing flavors of peach and ginger with 15mg of CBD. Made with natural fruit juices and no added sugar, it's designed to help you find calm and unwind. Enjoy it chilled on its own or as a mixer in cocktails.","Water, fruit juice from concentrate (peach (20%), passion fruit), ginseng, turmeric, lemon balm, chamomile, L-theanine, natural sweetener (steviol glycosides), natural flavouring (ginger 0.1%), flavour enhancer (erythritol), CBD (15mg) (soya lecithin).

For allergens, see ingredients in bold.",Ocado; Waitrose; Sainsbury's; Boots; tripdrinks.co.uk,can,growing,premium,year-round,Health-conscious young professionals,"Seeking a natural way to relax and de-stress without alcohol, appreciate premium, aesthetically pleasing products.",Wellness enthusiasts,"Looking for a functional beverage that provides a sense of calm and balance, aligns with their holistic lifestyle choices.",,,Morning calm,daily,Unwinding after work,daily,Social gathering mixer,occasional,Relaxing break,weekly,4,Tequila,complementary,Gin,complementary,Other non-alcoholic sparkling beverages,substitute,Herbal tea,substitute,,,CBD(0.99); Vegan(0.9); Soft Drinks(0.9)
comp_258bbc11ce691928ca6f,Trip,Lemon Basil CBD Drink 250ml,lemon-basil-cbd-drink-250ml,Trip,Soft Drinks,CBD Drinks,5.5,5.5,1,GBP,250ml,"TRIP Lemon Basil is a refreshing, lightly sparkling drink infused with 15mg of CBD and natural fruit juices. With no added sugar, it offers a delicious and healthy way to unwind or start your day. Enjoy it chilled on its own or as a mixer in cocktails.","Water, fruit juice from concentrate (lemon (7%), grape), lemon balm, ginseng, L-theanine, chamomile, natural flavourings (lemon, lime, basil 0.1%), flavour enhancer (erythritol), natural sweetener (steviol glycosides), CBD (15mg), (soya lecithin).

For allergens, see ingredients in bold.",Ocado; Waitrose; Sainsbury's; Boots; tripdrinks.co.uk,can,growing,premium,year-round,Health-conscious young professionals,"Seeking a natural, low-sugar beverage to help unwind and manage daily stress without alcohol or excessive caffeine, aligning with a healthy lifestyle.",Mindful drinkers,"Desire a refreshing, flavorful drink that offers a sense of relaxation and sophistication, suitable for social settings as an alternative to alcoholic beverages.",,,Unwinding after work,daily,Morning refreshment,daily,Social gathering mixer,occasional,Stress relief during the day,weekly,3,Vodka,enhancer,Sparkling water/seltzer,substitute,Herbal tea,complementary,,,,,Herbal(0.9); Citrus(0.95); Cans(0.98); Naturally Sweetened(0.95)
comp_477f329b913bfa2ad62c,Trip,Mindful Blend Elderflower Mint 4x250ml,mindful-blend-elderflower-mint-4x250ml,Trip,Soft Drinks,CBD Drinks,2,2,1,GBP,250ml,"TRIP Mindful Blend Elderflower Mint is a lightly sparkling drink crafted in the UK, designed to support psychological function and promote calm. Infused with 120mg magnesium and adaptogenic botanicals like Lion's Mane, Lemon Balm, and Chamomile, it offers a refreshing taste with apple and grapefruit juices, elderflower, and mint. This low-calorie, vegan, and gluten-free beverage contains no added sugar, making it a healthy choice for daily well-being.","Sparkling Water, Fruit Juices from Concentrate (27%) (Apple, Grapefruit), Erythritol, Magnesium Citrate, Citric Acid, Botanical Extracts (Lion's Mane, Ashwagandha, Lemon Balm, Chamomile, Ginseng), Natural Flavourings, Stevia, L-Theanine",Ocado; Waitrose; Sainsbury's; Boots; tripdrinks.co.uk,can,growing,premium,year-round,Health-conscious millennials,"Seeking low-calorie, no-added-sugar drinks with functional benefits (magnesium, adaptogens) to support mental calm and focus",Busy professionals seeking calm,Desire an easy daily ritual that provides a calming effect without alcohol or high calories,Vegan and dietary-restricted consumers,Need ready-to-drink options that align with vegan and gluten-free diets while offering functional benefits,Midday calm at the desk,daily,Post-exercise refresh,weekly,Alcohol alternative at social occasions,occasional,On-the-go commute pick-me-up,daily,4,Sparkling Water,substitute,Herbal Tea (Chamomile / Lemon Balm blends),complementary,Healthy Protein or Energy Bar,complementary,Reusable Insulated Bottle / Can Cooler,accessory,,,Lightly Carbonated(0.9); Cans(0.95); Citrus(0.9)
comp_bc83317e62c8463daa74,Trip,Mindful Blend Calm Apple Blossom 250ml,mindful-blend-calm-apple-blossom-250ml,Trip,Soft Drinks,CBD Drinks,2,2,1,GBP,250ml,"This sparkling drink is crafted with fruit juices, magnesium, and botanical extracts like Lion's Mane, Lemon Balm, and Chamomile. It offers a refreshing apple blossom flavor designed to promote a sense of calm. Enjoy this beverage as a mindful refreshment throughout your day.","Carbonated Water, Fruit Juices from Concentrate (Grape, Apple (3%), Cucumber), Flavour Enhancer: Erythritol, Magnesium Citrate, Acidity Regulator: Citric Acid, Lion&#x27;s Mane Extract, Natural Flavourings & Botanical Extracts (Lemon Balm, Chamomile), Sweetener: Steviol Glycosides from Stevia",Ocado; Waitrose; Sainsbury's; Boots; tripdrinks.co.uk,can,growing,mid-range,year-round,Wellness-focused young professionals,"Wants a low-sugar, flavorful drink that supports relaxation and cognitive balance without alcohol or heavy calories",Sober-curious/social non-drinkers,Seeks an enjoyable alternative to alcoholic drinks that feels intentional and social-friendly,Health-conscious shoppers,Purchases beverages with added minerals and botanicals that align with a wellness-first diet,Evening wind-down drink,daily,Midday calm boost at work,weekly,Non-alcoholic option for social occasions,occasional,,,4,Herbal tea (lemon balm or chamomile),complementary,Sparkling water,substitute,Dark chocolate (70%+ cacao),enhancer,Insulated can cooler / koozie,accessory,,,Herbal(0.9); Naturally Sweetened(0.95); Cans(0.98)
